address,categories/0,categories/1,categories/2,categories/3,categoryName,description,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,reviewsCount,state,street,title,totalScore,R_ID,Location_ID
722台灣台南市佳里區延平路62號,中式麵食店,,,,中式麵食店,,23.1549006,120.1794866,星期五,"11:00 to 13:30, 17:00 to 20:00",星期六,"11:00 to 13:30, 17:00 to 20:00",星期日,"11:00 to 13:30, 17:00 to 20:00",星期一,"11:00 to 13:30, 17:00 to 20:00",星期二,"11:00 to 13:30, 17:00 to 20:00",星期三,"11:00 to 13:30, 17:00 to 20:00",星期四,"11:00 to 13:30, 17:00 to 20:00",250,台南市佳里區,延平路62號,國士無雙牛肉麵,4.6,27,90027
709台灣台南市安南區理安街41號,早餐餐廳,,,,早餐餐廳,,23.0312429,120.1932106,星期五,05:30 to 11:30,星期六,05:30 to 11:30,星期日,05:30 to 11:30,星期一,05:30 to 11:30,星期二,05:30 to 11:30,星期三,05:30 to 11:30,星期四,05:30 to 11:30,5,台南市安南區,理安街41號,明奎早餐店,4.6,28,90028
722台灣台南市佳里區延平路371號,早餐餐廳,,,,早餐餐廳,,23.1633778,120.1780688,,,,,,,,,,,,,,,4,台南市佳里區,延平路371號,美而美早餐店,5.0,29,90029
709台灣台南市安南區,早餐餐廳,,,,早餐餐廳,,23.0677452,120.1967252,星期五,05:00 to 14:00,星期六,05:00 to 14:00,星期日,05:00 to 14:00,星期一,05:00 to 14:00,星期二,05:00 to 14:00,星期三,05:00 to 14:00,星期四,05:00 to 14:00,11,台南市安南區,,新寮傳統早餐店,4.0,30,90030
709台灣台南市安南區安中路一段763號,中餐館,,,,中餐館,,23.0435879,120.1941276,星期五,10:30 to 20:00,星期六,10:30 to 20:00,星期日,10:30 to 20:00,星期一,10:30 to 20:00,星期二,10:30 to 20:00,星期三,休息,星期四,10:30 to 20:00,44,台南市安南區,安中路一段763號,鴨片陳牛肉麵,4.3,31,90031
709台灣台南市安南區安中路一段851號,中式麵食店,,,,中式麵食店,,23.0448506,120.1920418,星期五,"11:00 to 14:00, 17:00 to 21:00",星期六,"11:00 to 14:00, 17:00 to 21:00",星期日,"11:00 to 14:00, 17:00 to 21:00",星期一,休息,星期二,"11:00 to 14:00, 17:00 to 21:00",星期三,"11:00 to 14:00, 17:00 to 21:00",星期四,"11:00 to 14:00, 17:00 to 21:00",308,台南市安南區,安中路一段851號,滿香園牛肉麵,3.9,32,90032
745台灣台南市安定區海寮131之3號,早餐餐廳,,,,早餐餐廳,,23.0981142,120.2086942,,,,,,,,,,,,,,,1,台南市安定區,海寮131之3號,無名早餐店,5.0,33,90033
709台灣台南市安南區大眾路402號2樓,餐廳,,,,餐廳,,23.0195424,120.1343187,星期五,11:00 to 21:00,星期六,11:00 to 21:00,星期日,11:00 to 21:00,星期一,11:00 to 21:00,星期二,11:00 to 21:00,星期三,11:00 to 21:00,星期四,11:00 to 21:00,18,台南市安南區,大眾路402號2樓,漁廬餐廳,4.2,34,90034
722台灣台南市佳里區延平路259號,快餐店,美式餐廳,早午餐餐廳,家庭餐廳,快餐店,老字號的經典連鎖速食店，以漢堡和薯條聞名。,23.1605105,120.1782085,星期五,06:00 to 00:00,星期六,06:00 to 00:00,星期日,06:00 to 00:00,星期一,06:00 to 00:00,星期二,06:00 to 00:00,星期三,06:00 to 00:00,星期四,06:00 to 00:00,1604,台南市佳里區,延平路259號,麥當勞-佳里延平店,4.0,35,90035
709台灣台南市安南區安中路四段46號,中餐館,亞洲菜餐廳,火鍋餐廳,,中餐館,,23.0501598,120.1726205,星期五,"10:00 to 14:00, 17:00 to 21:00",星期六,"10:00 to 14:00, 17:00 to 21:00",星期日,"10:00 to 14:00, 17:00 to 21:00",星期一,"10:00 to 14:00, 17:00 to 21:00",星期二,"10:00 to 14:00, 17:00 to 21:00",星期三,"10:00 to 14:00, 17:00 to 21:00",星期四,"10:00 to 14:00, 17:00 to 21:00",125,台南市安南區,安中路四段46號,中華一番,3.7,36,90036
709台灣台南市安南區海佃路三段55號,早餐餐廳,,,,早餐餐廳,,23.0483546,120.1826474,星期五,05:30 to 11:00,星期六,06:00 to 11:30,星期日,06:00 to 11:30,星期一,休息,星期二,05:30 to 11:00,星期三,05:30 to 11:00,星期四,05:30 to 11:00,34,台南市安南區,海佃路三段55號,富林早餐店,4.1,37,90037
709台灣台南市安南區本原街二段24號,早餐餐廳,,,,早餐餐廳,,23.059123,120.191355,,,,,,,,,,,,,,,1,台南市安南區,本原街二段24號,無名早餐店,5.0,38,90038
704台灣台南市北區東豐路247號,印度餐廳,,,,印度餐廳,,23.0032127,120.2215207,星期五,"11:30 to 14:00, 17:30 to 21:00",星期六,"11:30 to 14:00, 17:30 to 21:00",星期日,"11:30 to 14:00, 17:30 to 21:00",星期一,"11:30 to 14:00, 17:30 to 21:00",星期二,"11:30 to 14:00, 17:30 to 21:00",星期三,"11:30 to 14:00, 17:30 to 21:00",星期四,"11:30 to 14:00, 17:30 to 21:00",751,台南市北區,東豐路247號,瑪哈印度餐廳Maharaja indian Restaurant,4.3,39,90039
708台灣台南市安平區安北路124號,日本餐廳,,,,日本餐廳,,23.0029061,120.162491,星期五,18:00 to 23:00,星期六,18:00 to 23:00,星期日,18:00 to 23:00,星期一,休息,星期二,18:00 to 23:00,星期三,18:00 to 23:00,星期四,18:00 to 23:00,137,台南市安平區,安北路124號,川本家居酒屋,4.7,40,90040
700台灣台南市中西區新美街156號,居酒屋,,,,居酒屋,,22.9971034,120.2011179,星期五,17:00 to 00:00,星期六,17:00 to 00:00,星期日,17:00 to 00:00,星期一,休息,星期二,17:00 to 00:00,星期三,17:00 to 00:00,星期四,17:00 to 00:00,772,台南市中西區,新美街156號,朋友居酒屋,4.3,41,90041
700台灣台南市中西區民族路二段208巷6號,餐廳,,,,餐廳,,22.9969604,120.2031003,星期五,17:30 to 01:00,星期六,17:30 to 01:00,星期日,17:30 to 00:00,星期一,休息,星期二,17:30 to 01:00,星期三,17:30 to 01:00,星期四,17:30 to 01:00,293,台南市中西區,民族路二段208巷6號,岬角居酒屋,4.4,42,90042
709台灣台南市安南區顯宮二街96號,早餐餐廳,,,,早餐餐廳,,23.0379261,120.1265855,星期五,05:45 to 09:30,星期六,05:45 to 10:00,星期日,05:45 to 10:00,星期一,05:45 to 09:30,星期二,05:45 to 09:30,星期三,05:45 to 09:30,星期四,05:45 to 09:30,8,台南市安南區,顯宮二街96號,娜君早餐店,5.0,43,90043
709台灣台南市安南區公學路五段120號,台灣餐廳,中餐館,,,台灣餐廳,,23.0663484,120.1694799,星期五,11:00 to 20:00,星期六,11:00 to 20:00,星期日,休息,星期一,11:00 to 20:00,星期二,11:00 to 20:00,星期三,11:00 to 20:00,星期四,11:00 to 08:00,48,台南市安南區,公學路五段120號,十二小食,4.6,44,90044
722台灣台南市佳里區新生路255號,麵店,,,,麵店,,23.1601377,120.1766655,星期五,"10:00 to 14:00, 16:00 to 23:00",星期六,"10:00 to 14:00, 16:00 to 23:00",星期日,"10:00 to 14:00, 16:00 to 23:00",星期一,"10:00 to 14:00, 16:00 to 23:00",星期二,"10:00 to 14:00, 16:00 to 23:00",星期三,"10:00 to 14:00, 16:00 to 23:00",星期四,"10:00 to 14:00, 16:00 to 23:00",85,台南市佳里區,新生路255號,阿娟牛肉麵,4.1,45,90045
732台灣台南市白河區十全街295號,餐廳,,,,餐廳,,23.3488256,120.4102789,,,,,,,,,,,,,,,61,台南市白河區,十全街295號,東茂餐廳,4.0,46,90046
731台灣台南市後壁區55號,甜品餐廳,,,,甜品餐廳,,23.3787318,120.3358403,星期五,09:00 to 21:00,星期六,09:00 to 21:00,星期日,09:00 to 21:00,星期一,09:00 to 21:00,星期二,09:00 to 21:00,星期三,09:00 to 21:00,星期四,09:00 to 21:00,8,台南市後壁區,55號,新和源餅舖,4.0,47,90047
台灣台南市後壁區123號,亞洲菜餐廳,,,,亞洲菜餐廳,,23.3791894,120.335161,星期五,10:30 to 17:00,星期六,10:30 to 17:00,星期日,10:30 to 17:00,星期一,休息,星期二,休息,星期三,10:30 to 17:00,星期四,10:30 to 17:00,18,台南市後壁區,123號,呷卵,3.8,48,90048
731台灣台南市後壁區後廍19號,農家菜館,,,,農家菜館,,23.3835382,120.3367306,星期五,09:00 to 17:00,星期六,09:00 to 17:00,星期日,09:00 to 17:00,星期一,休息,星期二,休息,星期三,休息,星期四,休息,12,台南市後壁區,後廍19號,後廍土礱間,4.4,49,90049
732台灣台南市白河區66號,餐廳,,,,餐廳,,23.3933678,120.4120844,星期五,06:00 to 14:30,星期六,06:00 to 14:30,星期日,06:00 to 14:30,星期一,06:00 to 14:30,星期二,06:00 to 14:30,星期三,06:00 to 14:30,星期四,06:00 to 14:30,6,台南市白河區,66號,詔安麵飯店,4.3,50,90050
722台灣台南市佳里區中和街98號,麵店,,,,麵店,,23.1613604,120.1756493,星期五,16:00 to 22:30,星期六,16:00 to 21:30,星期日,10:30 to 22:30,星期一,16:00 to 10:30,星期二,16:00 to 22:30,星期三,16:00 to 22:30,星期四,16:00 to 22:30,66,台南市佳里區,中和街98號,老夫子牛肉麵,4.2,51,90051
702台灣台南市南區健康路二段351號,酒吧,俱樂部,現場音樂表演場地,餐廳,酒吧,座無虛席的餐廳，供應亞洲風味料理、啤酒和雞尾酒，且定期舉辦現場音樂表演。,22.9817607,120.1878202,星期五,18:00 to 02:00,星期六,18:00 to 02:00,星期日,18:00 to 01:00,星期一,18:00 to 01:00,星期二,18:00 to 01:00,星期三,18:00 to 01:00,星期四,18:00 to 01:00,1564,台南市南區,健康路二段351號,老拓音樂餐廳,4.5,52,90052
709台灣台南市安南區安中路四段315號,餐廳,,,,餐廳,,23.0514826,120.1651249,星期五,05:30 to 13:00,星期六,05:30 to 13:00,星期日,05:30 to 13:00,星期一,05:30 to 13:00,星期二,05:30 to 13:00,星期三,05:30 to 13:00,星期四,05:30 to 13:00,16,台南市安南區,安中路四段315號,富林漢堡早餐店,4.4,53,90053
724台灣台南市七股區,小吃攤,,,,小吃攤,,23.0931402,120.1293814,,,,,,,,,,,,,,,3,台南市七股區,,詳の關東煮,5.0,54,90054
72442台灣台南市七股區,早餐餐廳,,,,早餐餐廳,,23.1276689,120.1447847,星期五,05:00 to 10:00,星期六,05:00 to 10:00,星期日,休息,星期一,05:00 to 10:00,星期二,05:00 to 10:00,星期三,05:00 to 10:00,星期四,05:00 to 10:00,3,台南市七股區,,芳子家早餐店,5.0,55,90055
724台灣台南市七股區724,中餐館,,,,中餐館,,23.1136719,120.1610944,,,,,,,,,,,,,,,1,台南市七股區,724,樹子脚餐廳,4.0,56,90056
台灣台南市七股區十份里海埔27號之1,中餐館,,,,中餐館,,23.0971653,120.0609472,星期五,09:00 to 16:00,星期六,09:00 to 16:00,星期日,09:00 to 16:00,星期一,09:00 to 16:00,星期二,09:00 to 16:00,星期三,09:00 to 16:00,星期四,09:00 to 16:00,3,台南市七股區,十份里海埔27號之1,麗珠小吃店,3.7,57,90057
72442台灣台南市七股區27號,海鮮餐廳,台灣餐廳,,,海鮮餐廳,,23.0989346,120.0539041,星期五,10:30 to 18:30,星期六,10:30 to 20:00,星期日,10:30 to 20:00,星期一,10:30 to 18:30,星期二,10:30 to 18:30,星期三,10:30 to 18:30,星期四,10:30 to 18:30,994,台南市七股區,27號,阿芬活海產餐廳(創立二十年老字號）,3.8,58,90058
724台灣台南市七股區57-9號,海鮮餐廳,,,,海鮮餐廳,,23.0904726,120.0992953,星期五,11:00 to 19:00,星期六,11:00 to 19:00,星期日,11:00 to 19:00,星期一,11:00 to 19:00,星期二,11:00 to 19:00,星期三,11:00 to 19:00,星期四,11:00 to 19:00,253,台南市七股區,57-9號,燈塔正阿芬活海鮮,4.3,59,90059
709台灣台南市安南區安中路六段584號,中餐館,,,,中餐館,,23.0623623,120.1299224,星期五,"10:00 to 14:30, 16:30 to 20:30",星期六,10:00 to 20:30,星期日,10:00 to 20:30,星期一,"10:00 to 14:30, 16:30 to 20:30",星期二,"10:00 to 14:30, 16:30 to 20:30",星期三,"10:00 to 14:30, 16:30 to 20:30",星期四,休息,6,台南市安南區,安中路六段584號,嘰哩咕嚕 燒肉飯．鍋燒意麵,3.8,60,90060
709台灣台南市安南區公學路七段177號 之 51 號,台灣餐廳,餐廳,,,台灣餐廳,,23.0811941,120.1357985,星期五,09:00 to 19:00,星期六,09:00 to 19:00,星期日,09:00 to 19:00,星期一,09:00 to 19:00,星期二,09:00 to 19:00,星期三,09:00 to 19:00,星期四,休息,354,台南市安南區,公學路七段177號 之 51 號,國聖橋土豆豬腳,3.9,61,90061
709台灣台南市安南區安中路六段550號,早餐餐廳,,,,早餐餐廳,,23.0619356,120.1305393,星期五,05:00 to 10:00,星期六,05:00 to 10:00,星期日,05:00 to 10:00,星期一,05:00 to 10:00,星期二,05:00 to 10:00,星期三,05:00 to 10:00,星期四,05:00 to 10:00,5,台南市安南區,安中路六段550號,土城林家肉粿,4.0,62,90062
709台灣台南市安南區安中路六段480號,火鍋餐廳,,,,火鍋餐廳,,23.0613002,120.131811,星期五,17:00 to 21:00,星期六,17:00 to 21:00,星期日,17:00 to 21:00,星期一,17:00 to 21:00,星期二,17:00 to 21:00,星期三,17:00 to 21:00,星期四,17:00 to 21:00,17,台南市安南區,安中路六段480號,鍋寶臭臭鍋土城店,4.5,63,90063
724台灣台南市七股區台17線16號,台灣餐廳,,,,台灣餐廳,,23.093539,120.1315052,星期五,05:30 to 13:30,星期六,05:30 to 13:30,星期日,05:30 to 13:30,星期一,05:30 to 13:30,星期二,05:30 to 13:30,星期三,05:30 to 13:30,星期四,05:30 to 13:30,261,台南市七股區,台17線16號,國姓橋下肉燥飯,4.0,64,90064
709台灣台南市安南區安明路四段1273號,餐廳,,,,餐廳,,23.0761145,120.1348957,星期五,09:00 to 19:00,星期六,09:30 to 19:00,星期日,09:30 to 19:00,星期一,09:30 to 19:00,星期二,09:00 to 19:00,星期三,休息,星期四,09:30 to 19:00,47,台南市安南區,安明路四段1273號,國姓土豆豬腳,4.2,65,90065
709台灣台南市安南區,早餐餐廳,,,,早餐餐廳,,23.0622475,120.1297897,星期五,05:00 to 10:30,星期六,05:00 to 10:30,星期日,05:00 to 10:30,星期一,05:00 to 10:30,星期二,05:00 to 10:30,星期三,05:00 to 10:30,星期四,05:00 to 10:30,1,台南市安南區,,富林漢堡（土城仔店）,5.0,66,90066
709台灣台南市安南區城北路128號,純素餐廳,,,,純素餐廳,,23.0640997,120.131687,星期五,05:00 to 09:00,星期六,05:00 to 09:00,星期日,休息,星期一,05:00 to 09:00,星期二,05:00 to 09:00,星期三,05:00 to 09:00,星期四,05:00 to 09:00,22,台南市安南區,城北路128號,【崇義素食】手工現做早餐,4.9,67,90067
70970台灣台南市安南區安中路六段486號,早餐餐廳,早午餐餐廳,,,早餐餐廳,,23.0612781,120.1314879,星期五,05:30 to 11:00,星期六,05:30 to 11:00,星期日,05:30 to 11:00,星期一,05:30 to 11:00,星期二,05:30 to 11:00,星期三,05:30 to 11:00,星期四,05:30 to 11:00,76,台南市安南區,安中路六段486號,早安美芝城台南土城,4.0,68,90068
709台灣台南市安南區安中路六段509號,餐廳,,,,餐廳,,23.0611694,120.1309678,星期五,11:00 to 20:30,星期六,11:00 to 20:30,星期日,11:00 to 20:30,星期一,11:00 to 14:00,星期二,11:00 to 20:30,星期三,11:00 to 20:30,星期四,11:00 to 20:30,186,台南市安南區,安中路六段509號,青葉活海產飲食店,4.0,69,90069
709台灣台南市安南區城北路4號,早餐餐廳,,,,早餐餐廳,,23.062617,120.1299657,星期五,05:00 to 18:00,星期六,05:00 to 18:00,星期日,05:00 to 18:00,星期一,05:00 to 18:00,星期二,05:00 to 18:00,星期三,05:00 to 18:00,星期四,05:00 to 18:00,60,台南市安南區,城北路4號,讚伯手工包子饅頭油飯,4.0,70,90070
731台灣台南市後壁區,早餐餐廳,,,,早餐餐廳,,23.3866204,120.3798228,星期五,05:30 to 09:30,星期六,05:30 to 09:30,星期日,05:30 to 09:30,星期一,05:30 to 09:30,星期二,05:30 to 09:30,星期三,05:30 to 09:30,星期四,05:30 to 09:30,37,台南市後壁區,,阿玲早點,4.5,71,90071
