S_ID,Name,Store_type,Location_ID,Section,Address,Latitude,Longitude,Rating
5048,Heping Park,5,50048,25,"701, Taiwan, Tainan City, East District",22.9765003,120.2331566,3.4
5049,棒球公園,5,50049,25,"702台灣台南市南區健康路, Section 2, Datong Rd, South District, Tainan City, Taiwan 702",22.980915,120.210566,3.9
5050,Dongcheng Park,5,50050,25,"No. 150號, Dongcheng St, East District, Tainan City, Taiwan 701",22.9800618,120.2362837,3.8
5051,Heshun Park,5,50051,25,"No. 406號, Gongyuan S Rd, North District, Tainan City, Taiwan 704",23.0037832,120.2010429,4.1
5052,Wenhua Park,5,50052,25,"No. 86號, Wenhua 1st St, East District, Tainan City, Taiwan 701",22.9778578,120.2315583,4.5
5053,Dafu Park,5,50053,25,"Lide 7th Rd, East District, Tainan City, Taiwan 701",22.9761431,120.2155134,3.9
5054,Xianghe Park,5,50054,25,"No. 6號, Alley 22, Lane 226, Qingnian Rd, West Central District, Tainan City, Taiwan 700",22.9908215,120.2106578,4.3
5055,Daliner Park,5,50055,25,"No. 482巷, Section 2, Datong Rd, South District, Tainan City, Taiwan 702",22.9736823,120.2099384,4.4
5056,臺南公園大燕潭,5,50056,25,"704, Taiwan, Tainan City, North District",23.0014483,120.2119299,5.0
5057,Daliangshengtai Park,5,50057,25,"700, Taiwan, Tainan City, West Central District",22.99519,120.191127,4.1
5058,Tainan Metropolitan Park,5,50058,25,"No. 62, Section 2, Wenhua Rd, Rende District, Tainan City, Taiwan 717",22.9358456,120.2240562,4.5
5059,Chongcheng Park,5,50059,25,"Chongming 24th St, East District, Tainan City, Taiwan 701",22.966425,120.2260729,4.3
5060,Huaishilu Park,5,50060,25,"No. 215號, Yuxiao Rd, East District, Tainan City, Taiwan 701",22.982978,120.243612,0.0
5061,Tainan Park,5,50061,2,"No. 89號, Gongyuan S Rd, North District, Tainan City, Taiwan 704",23.0022317,120.2115924,4.2
5062,Pingshi Park,5,50062,2,"710, Taiwan, Tainan City, Yongkang District, 小東路553號",22.996063,120.2363541,4.3
5063,Xiaodong Park,5,50063,2,"701, Taiwan, Tainan City, East District, 小東路",23.0011694,120.2257725,4.1
5064,Xiwang Park,5,50064,2,"No. 139-153, Wencheng 1st Rd, North District, Tainan City, Taiwan 704",23.013791,120.2047624,4.1
5065,Heshun Park,5,50065,2,"No. 406號, Gongyuan S Rd, North District, Tainan City, Taiwan 704",23.0037832,120.2010429,4.1
5066,No.9 Park,5,50066,2,"Qingnian Rd, East District, Tainan City, Taiwan 701",22.9914796,120.2145303,4.2
5067,Nanmen Park,5,50067,2,"Lane 84, Section 1, Zhongyi Rd, West Central District, Tainan City, Taiwan 700",22.9866091,120.2035692,4.3
5068,Lide Park,5,50068,2,"No. 20, Section 1, Lixian Rd, North District, Tainan City, Taiwan 704",23.0099894,120.2053467,4.1
5069,Yude Park,5,50069,2,"704, Taiwan, Tainan City, North District",23.0066463,120.2012639,3.9
5070,Wenyuan Park,5,50070,2,"No. 23, Lane 650, Wencheng Rd, North District, Tainan City, Taiwan 704",23.0124548,120.1980612,4.0
5071,Yongkang Park,5,50071,2,"No. 100號, Xingguo St, Yongkang District, Tainan City, Taiwan 710",23.002754,120.244039,4.2
5072,Thng Tik-Tsiong Memorial Park,5,50072,2,"No. 6, Section 1, Minsheng Rd, West Central District, Tainan City, Taiwan 700",22.9925951,120.2050199,4.1
5073,Barclay Memorial Park,5,50073,2,"701, Taiwan, Tainan City, East District",22.9719929,120.2225874,4.4
5074,Kaide Park,5,50074,2,"704, Taiwan, Tainan City, North District, 育德一街",23.0159919,120.2050041,4.5
5075,Dongxing Park,5,50075,2,"701, Taiwan, Tainan City, East District",22.9972554,120.2250295,4.2
5076,Chengde Park,5,50076,2,"No. 488-500, Yude Rd, North District, Tainan City, Taiwan 704",23.0140974,120.2072794,4.0
5077,Beiyuan Park,5,50077,2,"Alley 49, Lane 985, Hai'an Rd, North District, Tainan City, Taiwan 704",23.0187658,120.1987814,4.1
5078,Zhengziliao Park,5,50078,2,"No. 301, Yucheng Rd, North District, Tainan City, Taiwan 704",23.020449,120.2055288,3.9
5079,Dahe Park,5,50079,2,"No. 472號, Section 1, Zhonghua N Rd, North District, Tainan City, Taiwan 704",23.015696,120.18927,3.7
5080,Lianyatang Memorial Park,5,50080,2,"704, Taiwan, Tainan City, North District",23.0033439,120.199481,3.8
5081,Banyan Garden,5,50081,2,"701, Taiwan, Tainan City, East District, Dasyue Rd, 1號成功大學光復校區",23.0003294,120.2161599,4.6
5082,Shueipingwun Park,5,50082,2,"No. 383, Section 2, Jinhua Rd, South District, Tainan City, Taiwan 702",22.9861513,120.1932148,4.1
5083,Shijian Park,5,50083,2,"No. 156, Shijian St, North District, Tainan City, Taiwan 704",23.0133624,120.219618,3.7
5084,Dongxingluyi Park,5,50084,2,"704, Taiwan, Tainan City, North District, 小東路307巷96弄17號",23.0004049,120.2321992,3.9
5085,Guangxian Park,5,50085,2,"Guangxian St, West Central District, Tainan City, Taiwan 700",23.0047947,120.1894504,4.1
5086,Fengxing Park,5,50086,2,"No. 9, Lane 559, Dongfeng Rd, North District, Tainan City, Taiwan 704",23.0013429,120.2278423,4.1
5087,Yanshuixibei'an Riverside Park,5,50087,2,"No. 249, Section 5, Fuan Rd, Annan District, Tainan City, Taiwan 709",23.0206842,120.1941643,3.9
5088,Donghe Park,5,50088,2,"Taiwan, Tainan City, East District, 701台南市東區",22.9988652,120.225174,4.5
5089,Liren Park,5,50089,2,"No. 28, Lane 370, Gongyuan S Rd, North District, Tainan City, Taiwan 704",23.0045043,120.2023895,2.8
5090,Lin Mo-niang Park,5,50090,2,"No. 250號, Anyi Rd, Anping District, Tainan City, Taiwan 708",22.9938758,120.1571958,4.4
5091,Zhangxingshengtai Park,5,50091,2,"Gongyuan N Rd, North District, Tainan City, Taiwan 704",23.0046496,120.207364,4.0
