S_ID,station_no,Store_type,Location_ID,name_tw,district_tw,address_tw,lat,lng,Section
3049,"""501306002""",3,30049,"""臺南都會公園(文賢路)""",台南市仁德區,"""奇美博物館文賢路停車場""","""22.93625""","""120.22868""",31.0
3050,"""501306003""",3,30050,"""嘉南藥理大學""",台南市仁德區,"""嘉南藥理大學(北三機車停車場)""","""22.92231""","""120.22728""",31.0
3051,"""501306004""",3,30051,"""保安轉運站""",台南市仁德區,"""保安轉運站公車侯車亭旁 (文賢路一段)""","""22.9328""","""120.2306""",31.0
3052,"""501306006""",3,30052,"""保華崇德""",台南市仁德區,"""保華路245號北側""","""22.95923""","""120.22681""",31.0
3053,"""501306007""",3,30053,"""衛福部胸腔病院""",台南市仁德區,"""文心路/中山路口(東南側)""","""22.97435""","""120.24154""",31.0
3054,"""501306008""",3,30054,"""中華醫事科技大學""",台南市仁德區,"""文華一街89號前""","""22.96079""","""120.24341""",31.0
3055,"""501306009""",3,30055,"""仁德運動公園""",台南市仁德區,"""仁義路221號南側""","""22.96848""","""120.25846""",31.0
3056,"""501306010""",3,30056,"""仁中公園""",台南市仁德區,"""仁中三街75號北側""","""22.96338""","""120.25161""",31.0
3057,"""501306011""",3,30057,"""德南國小""",台南市仁德區,"""中正路二段209號""","""22.94910""","""120.25125""",31.0
3058,"""501306012""",3,30058,"""文宏公園""",台南市仁德區,"""文宏路268號西側""","""22.97715""","""120.24336""",31.0
3059,"""501306014""",3,30059,"""南147線(奇美)""",台南市仁德區,"""中正路一段398號北側""","""22.92754""","""120.24305""",31.0
3060,"""501306015""",3,30060,"""中洲車站""",台南市仁德區,"""中洲五街236號""","""22.90449""","""120.25289""",31.0
3061,"""501306016""",3,30061,"""中洲中生""",台南市仁德區,"""中洲路750號""","""22.90796""","""120.25056""",31.0
3062,"""501306018""",3,30062,"""清王公園""",台南市仁德區,"""行大街8號南側""","""22.91633""","""120.22362""",31.0
3063,"""501306019""",3,30063,"""港尾溝溪滯洪池""",台南市仁德區,"""中正路一段95號南側""","""22.91883""","""120.23155""",31.0
3064,"""501306020""",3,30064,"""仁德車站""",台南市仁德區,"""永德路10號北側""","""22.92385""","""120.24049""",31.0
3065,"""501306021""",3,30065,"""仁德文賢國中""",台南市仁德區,"""中正路一段185號""","""22.92106""","""120.23499""",31.0
3066,"""501306022""",3,30066,"""中正太子路口""",台南市仁德區,"""中正路三段701號南側""","""22.99121""","""120.25560""",31.0
3067,"""501306023""",3,30067,"""仁德忠義中正""",台南市仁德區,"""忠義路260號""","""22.97664""","""120.25437""",31.0
3068,"""501306027""",3,30068,"""仁德區公所""",台南市仁德區,"""中正路三段5號""","""22.97224""","""120.25181""",31.0
