S_ID,Name,Store_type,Location_ID,Section,Address,Latitude,Longitude,Rating
7041,潮代診所 | 減重門診 | 減肥診所 | 健康減重 | 台南減肥推薦 | 台南減重評價,7,70041,25,"704, Taiwan, Tainan City, North District, Section 3, Linsen Rd, 165號2樓",23.0057494,120.2245408,4.9
7042,楊博文耳鼻喉科,7,70042,25,"No. 76-8號, Renhe Rd, East District, Tainan City, Taiwan 701",22.9752517,120.230758,4.3
7043,黃三元耳鼻喉科診所,7,70043,25,"No. 7, Chongming Rd, East District, Tainan City, Taiwan 70147",22.981893,120.216066,4.4
7044,波士頓醫美診所,7,70044,25,"No. 137號, Section 3, Zhonghua E Rd, East District, Tainan City, Taiwan 701",22.9782021,120.2270349,4.7
7045,璺到底皮膚專科診所,7,70045,25,"701, Taiwan, Tainan City, East District, Chongming Rd, 153-1號一樓",22.97926,120.2187994,3.7
7046,灝天診所,7,70046,25,"No. 489號, Chongming Rd, East District, Tainan City, Taiwan 701",22.9726742,120.2254967,0.0
7047,安妞美學診所 台南崇學店,7,70047,25,"701, Taiwan, Tainan City, East District, Chongxue Rd, 269號2樓",22.982249,120.2255158,4.9
7048,易和中醫診所,7,70048,25,"No. 63號, Fudong St, East District, Tainan City, Taiwan 701",22.985739,120.2187288,4.8
7049,黃智毅耳鼻喉科診所,7,70049,25,"No. 149之1號, Chongxue Rd, East District, Tainan City, Taiwan 701",22.9797344,120.2229717,3.8
7050,天一中醫聯合診所,7,70050,25,"No. 332之2號, Section 2, Dongmen Rd, East District, Tainan City, Taiwan 701",22.9830913,120.2266159,4.9
7051,蕭國瑞耳鼻喉科診所,7,70051,25,"27之13號, Yunong Rd, East District, Tainan City, Taiwan 701",22.9853393,120.2251881,4.1
7052,ihair風華御髮台南崇明店-台南植髮診所推薦,7,70052,25,"701, Taiwan, Tainan City, East District, Chongming Rd, 377-1號2樓",22.9750387,120.2226316,5.0
7053,陳眼科耳鼻喉科診所,7,70053,25,"No. 37號, Section 2, Dongmen Rd, East District, Tainan City, Taiwan 701",22.9865012,120.219804,4.5
7054,吳建民耳鼻喉科診所,7,70054,25,"No. 343號, Chongming Rd, East District, Tainan City, Taiwan 701",22.9758294,120.2219494,3.9
7055,蔚武中醫診所 /清冠一號/預約門診 Line:@yfy9082w /痔瘡/攝護腺炎/咳嗽/鼻過敏/胃食道逆流/更年期症候群/便秘/頻尿/生長發育調理,7,70055,25,"No. 502號, Chongming Rd, East District, Tainan City, Taiwan 701",22.9736168,120.2236861,5.0
7056,Lin Yu Zhong physical and mental psychiatric clinic,7,70056,25,"No. 31號, Zhongshan S Rd, Yongkang District, Tainan City, Taiwan 710",23.0118834,120.2267958,4.4
7057,李榮貴中醫診所-東區中醫過敏治療 | 失眠諮詢 | 口碑中醫 | 中醫皮膚科 | 青春痘治療 | 婦科調理,7,70057,25,"No. 12號, Section 2, Linsen Rd, East District, Tainan City, Taiwan 70165",22.9858735,120.2227803,4.9
7058,必揚物理治療,7,70058,25,"No. 89-1, Qingdong St, East District, Tainan City, Taiwan 701",22.9883569,120.216133,5.0
7059,全仁中醫診所,7,70059,25,"No. 20號, Chongdao Rd, East District, Tainan City, Taiwan 701",22.9720134,120.2262581,4.9
7060,華德整復所,7,70060,25,"No. 55號, Section 2, Linsen Rd, East District, Tainan City, Taiwan 701",22.9868565,120.2226146,4.4
7061,NCKU Hospital Building No. 2,7,70061,2,"704, Taiwan, Tainan City, North District, 小東路35號",23.0015949,120.2177627,3.4
7062,National Cheng Kung University Hospital,7,70062,2,"No. 138號, Shengli Rd, North District, Tainan City, Taiwan 704",23.002347,120.2193717,3.1
7063,MOHW Tainan Hospital,7,70063,2,"No. 125號, Zhongshan Rd, West Central District, Tainan City, Taiwan 700",22.9960706,120.2088778,3.0
7064,Tainan Municipal Hospital,7,70064,2,"No. 670號, Chongde Rd, East District, Tainan City, Taiwan 701",22.9687059,120.2268128,2.9
7065,台南頂安診所,7,70065,2,"No. 600號, Section 2, Beimen Rd, North District, Tainan City, Taiwan 704",23.0110926,120.2165352,4.7
7066,Tainan City Municipal Annan Hospital,7,70066,2,"No. 66號, Section 2, Zhanghe Rd, Annan District, Tainan City, Taiwan 709",23.0650839,120.2231768,3.0
7067,Sinlau Christian Hospital,7,70067,2,"No. 57號, Section 1, Dongmen Rd, East District, Tainan City, Taiwan 701",22.9891387,120.2133326,3.3
7068,王恭亮診所,7,70068,2,"No. 375, Gongyuan Rd, North District, Tainan City, Taiwan 704",23.0057594,120.2102736,2.8
7069,Chih-Cheng Hospital,7,70069,2,"No. 315-1號, Gongyuan Rd, North District, Tainan City, Taiwan 704",23.0035883,120.2100355,3.4
7070,臺南維新診所,7,70070,2,"No. 600, Section 3, Hai'an Rd, North District, Tainan City, Taiwan 704",23.0125771,120.2007784,3.9
7071,心悠活診所／身心精神科診所,7,70071,2,"No. 14號, Section 5, Jinhua Rd, North District, Tainan City, Taiwan 704",23.0019403,120.1963881,4.5
7072,General Clinic,7,70072,2,"No. 252號, Section 2, Lin'an Rd, North District, Tainan City, Taiwan 704",23.0042065,120.2013726,4.2
7073,第一聯合診所,7,70073,2,"No. 421號, Shengli Rd, North District, Tainan City, Taiwan 704",23.0047592,120.2187342,3.5
7074,Lin Binghuang dermatology clinic,7,70074,2,"704, Taiwan, Tainan City, North District, Section 3, Ximen Rd, 159號13F-2",23.003814,120.2040313,4.3
7075,MOHW Tainan Hospital Xinhua Branch,7,70075,2,"712, Taiwan, Tainan City, Xinhua District, 那拔里牧場72號",23.0627523,120.3366037,2.8
7076,美地診所,7,70076,2,"No. 41, Xihua St, North District, Tainan City, Taiwan 725",22.9986137,120.2102061,0.0
7077,Joy Family Clinic,7,70077,2,"No. 132號, Section 1, Dongguang Rd, East District, Tainan City, Taiwan 701",22.9947258,120.2314131,3.8
7078,南門診所,7,70078,2,"700, Taiwan, Tainan City, West Central District, 郡王里南門路179-5號",22.9862359,120.204389,4.5
7079,北安勤美皮膚科診所/附設整形門診,7,70079,2,"No. 210號, Section 1, Beian Rd, North District, Tainan City, Taiwan 704",23.018268,120.2081148,4.1
7080,Jen-Ai Hospital,7,70080,2,"No. 10, Section 1, Beimen Rd, East District, Tainan City, Taiwan 701",22.9897365,120.2116249,3.3
