title,id,kind_name,room_str,floor_str,community,price,price_unit,section_name,street_name,location,area
可租補-太子成大會館，近夢時代，傢俱全,16539482,整層住家,1房1廳,8F/14F,太子成大會館,"15,000",元/月,東區,中華東路一段,東區-中華東路一段12號,18.0
溫馨日系兩房（含管、車位）,16533956,整層住家,2房2廳,17F/19F,世紀之門,"19,000",元/月,北區,北園街,北區-北園街8巷,15.0
<興城團隊>正東區商圈景觀兩房,16533377,整層住家,2房2廳,10F/14F,太子文化會館,"22,000",元/月,東區,文化路,東區-文化路,15.8
免仲介費🔥東區🎃最新view兩房與寵,16529952,整層住家,2房2廳,8F/15F,昕視界,"22,325",元/月,東區,德東街,東區-德東街,27.0
🚀兆基社宅#機能超優#可租金補貼,16163263,整層住家,2房2廳,5F/14F,站前casa,"17,200",元/月,北區,公園南路,北區-公園南路,17.3
🚀寄居蟹社宅#南大學生合租首選#可補助,16360870,整層住家,4房1廳,6F/7F,寄居蟹社宅,"19,000",元/月,中西區,南門路,中西區-南門路68巷,24.0
(租)直播主最愛開放採光電梯美寓,16526987,整層住家,1房1廳,4F/5F,大傳WH7,"20,000",元/月,中西區,信義街,中西區-信義街46巷30號,22.3
🚀寄居蟹社宅#東區稀有兩大套房,16305858,整層住家,2房0廳,整棟/1F,寄居蟹社宅,"16,000",元/月,東區,大同路一段,東區-大同路一段215巷,9.9
🚀兆基社宅#精美大空間三房#可租補,16216201,整層住家,3房2廳,4F/12F,兆基社宅,"17,500",元/月,東區,崇德二十五街,東區-崇德二十五街,30.3
🚀兆基社宅#長榮路精美大空間住宅,16480477,整層住家,3房2廳,2F/5F,兆基社宅,"13,600",元/月,北區,長榮路四段,北區-長榮路四段31巷,25.9
🚀兆基屋管#精美東區兩房#清景麟,16470253,整層住家,2房2廳,3F/14F,兆基屋管,"26,000",元/月,東區,崇元一街,東區-崇元一街,20.1
🚀兆基社宅#摩根168精美套房#可租補,16361238,整層住家,1房0廳,8F/14F,兆基社宅,"11,000",元/月,東區,中華東路二段,東區-中華東路二段,8.1
出租全新東區德高國小旁兩房加車位,16511658,整層住家,2房2廳,8F/14F,昕視界,"24,000",元/月,東區,德東街,東區-德東街,27.0
陽光鎮景觀2房平車~含管理費,16401966,整層住家,2房2廳,13F/20F,鄉城陽光鎮大廈,"20,000",元/月,東區,中華東路二段,東區-中華東路二段,18.3
成大高樓3房含管|可養寵物-興城團隊,16521418,整層住家,3房2廳,19F/24F,成大城,"22,000",元/月,北區,開元路,北區-開元路,26.1
星鴻社會住宅✨優質全新三房含裝潢家具車位,16521416,整層住家,3房2廳,3F/15F,遠雄北府苑,"23,000",元/月,北區,文成一路,北區-文成一路,23.1
世界帝標2房含家俱家電/機車位(無仲介費,16518982,整層住家,2房1廳,11F/14F,世界帝標大廈,"19,500",元/月,東區,龍山街,東區-龍山街,19.0
東區府連路透天分租/🉑租補寵物!,16517678,整層住家,4房2廳,1F~3F/3F,,"19,000",元/月,東區,府連路,東區-府連路166巷,49.6
成大城超值三房（含管理費）全配～免仲介費,16517118,整層住家,3房2廳,4F/22F,成大城,"20,000",元/月,北區,開元路,北區-開元路517號,24.8
成大芳鄰~大3房美居,16515989,整層住家,3房2廳,3F/7F,碧富邑大廈,"25,000",元/月,東區,東興路,東區-東興路,43.6
東區富立建設_大坪數3+1房/含家俱家電,16511815,整層住家,3房2廳,12F/15F,富立真邦/和築真邦,"50,000",元/月,東區,崇賢三路,東區-崇賢三路8號,46.0
免仲介費😍正東區🔥輕屋齡小資首選,16511136,整層住家,2房2廳,2F/7F,樂高一期,"20,800",元/月,東區,德昌路,東區-德昌路,22.0
清景麟11F全新兩房，含管可租補報稅可寵,16511034,整層住家,2房2廳,4F/14F,清景麟巴克禮,"21,000",元/月,東區,崇元一街,東區-崇元一街,13.0
中西區正國華街上兩房兩廳一衛,16510623,整層住家,2房2廳,5F/7F,西門華廈,"18,800",元/月,中西區,國華街二段,中西區-國華街二段45號,20.4
