station_no,name_tw,district_tw,address_tw,lat,lng
"""501309025""","""小東公園""","""北區""","""小東路57號東側""","""23.00064""","""120.22511"""
"""501309027""","""北安公園""","""北區""","""北安路一段142號""","""23.01736""","""120.20931"""
"""501309028""","""成德公園""","""北區""","""育德路500號""","""23.01415""","""120.20666"""
"""501309029""","""凱德公園""","""北區""","""育德一街81號(旁公園)""","""23.01564""","""120.20524"""
"""501309030""","""賢北國小""","""北區""","""大興街599號""","""23.00782""","""120.17967"""
"""501309031""","""西門公園451巷""","""北區""","""西門路四段170號北側""","""23.00988""","""120.20825"""
"""501309032""","""賢北停車場""","""北區""","""賢北街61號東側""","""23.00884""","""120.18303"""
"""501309033""","""北區陽光公園""","""北區""","""育德二路60號西側""","""23.00818""","""120.20264"""
"""501309034""","""臺南車站(前站二)""","""北區""","""北門路二段3號旁""","""22.99772""","""120.21193"""
"""501309035""","""正德順德公園""","""北區""","""中華北路二段194巷57號西側""","""23.01947""","""120.20324"""
"""501309036""","""文靈公園""","""北區""","""文賢三街348號西側""","""23.01701""","""120.19788"""
"""501309037""","""文元公園""","""北區""","""文成路637號北側""","""23.01247""","""120.19815"""
"""501309038""","""北園公園""","""北區""","""北園街114巷5號""","""23.01320""","""120.22393"""
"""501309039""","""東豐長榮""","""北區""","""東豐路295號南側""","""23.00239""","""120.22315"""
"""501309040""","""小北棒球場(文成五育德一)""","""北區""","""文成五路66號南側""","""23.01868""","""120.20496"""
"""501309041""","""臺南市桌球館""","""北區""","""東豐路458號""","""23.00185""","""120.22652"""
"""501309043""","""成大醫院成杏校區(東豐路)""","""北區""","""東豐路221號南側""","""23.00280""","""120.22037"""
"""501309045""","""北元公園""","""北區""","""海安路三段985巷46號南側""","""23.01920""","""120.19870"""
"""501309046""","""中成成功""","""北區""","""成功路114號""","""22.99848""","""120.20542"""
"""501309047""","""文賢國中""","""北區""","""文賢路292巷117號(東南側)""","""23.00639""","""120.19649"""
"""501309049""","""長勝長榮路口""","""北區""","""長勝路5號前""","""23.00944""","""120.22022"""
"""501309051""","""元成公園""","""北區""","""文賢 二街205號""","""23.01563""","""120.19688"""
"""501309053""","""北成公園""","""北區""","""北成路38巷2號對側""","""23.01906""","""120.21088"""
"""501310001""","""左鎮化石園區""","""左鎮區""","""左鎮區61-23號南側""","""23.06361""","""120.38913"""
"""501311001""","""永康車站""","""永康區""","""中山路536巷內""","""23.03861526""","""120.2541311"""
"""501311002""","""臺南市立圖書館""","""永康區""","""康橋大道255號""","""23.02506""","""120.23797"""
"""501311004""","""南大附中""","""永康區""","""中山南路948號""","""23.0237809""","""120.2528907"""
"""501311005""","""小橋公園""","""永康區""","""東橋十街3號南側""","""23.02246""","""120.23360"""
"""501311006""","""國立成功大學附屬南工""","""永康區""","""中山南路193號""","""23.01458""","""120.23412"""
"""501311008""","""龍中公園""","""永康區""","""永大路三段618巷/八德街88巷口""","""23.03850""","""120.26060"""
"""501311009""","""南臺科技大學(第三男子宿舍)""","""永康區""","""南台街75巷口(東北側)""","""23.02265""","""120.22213"""
"""501311013""","""臺南應用科技大學""","""永康區""","""中正路882號對側""","""23.03919""","""120.23957"""
"""501311014""","""臺南應用科技大學(後門)""","""永康區""","""正南五街/中正六街口(南側)""","""23.03627""","""120.23742"""
"""501311015""","""探索教育公園(永平街)""","""永康區""","""永平街427號對側""","""23.02176""","""120.25917"""
"""501311016""","""奇美醫院(中華路)""","""永康區""","""中華路901號""","""23.02082""","""120.22230"""
"""501311017""","""台1線正南八街口""","""永康區""","""正南八街1號""","""23.03828""","""120.23324"""
"""501311020""","""大橋三街(活動中心)""","""永康區""","""大橋三街230號南側""","""23.02054""","""120.22876"""
"""501311021""","""祥合公園(勝學路)""","""永康區""","""中華二路379巷12號東南側""","""23.00792""","""120.23165"""
"""501311022""","""永康勝利國小""","""永康區""","""勝學路111號""","""23.00357""","""120.23087"""
"""501311023""","""永康臨時轉運站""","""永康區""","""永運路150號北側""","""23.04481""","""120.24971"""
"""501311024""","""三村國小""","""永康區""","""鹽行路2號""","""23.04158""","""120.23719"""
"""501311025""","""大橋車站(北側)""","""永康區""","""中華路835號北側""","""23.01972""","""120.22432"""
"""501311026""","""大橋車站(南側)""","""永康區""","""中華路817號北側""","""23.01930""","""120.22486"""
"""501311027""","""復華七國華街口""","""永康區""","""國華街110號""","""23.01461""","""120.24684"""
"""501311028""","""永康國小""","""永康區""","""中山南路637號""","""23.02569""","""120.25575"""
"""501311029""","""永康拖吊場""","""永康區""","""永大五路1號""","""23.02054""","""120.26159"""
"""501311030""","""西灣里滯洪池""","""永康區""","""永大路二段451號""","""23.01561""","""120.26319"""
"""501311031""","""大灣國小""","""永康區""","""大灣路283號""","""23.00601""","""120.26716"""
"""501311032""","""大灣高中(文賢街)""","""永康區""","""文賢街68巷1號西側""","""23.00709""","""120.27174"""
"""501311033""","""忠義街44巷""","""永康區""","""忠義街44巷46號北側""","""22.99996""","""120.23772"""
"""501311034""","""安康里鄰里公園""","""永康區""","""中華西街196巷28號北側""","""23.01723""","""120.22620"""
"""501311035""","""鹽行國中(平道二路)""","""永康區""","""水漾路110號""","""23.04647""","""120.24577"""
"""501311036""","""永康區社教中心""","""永康區""","""永大二路88號""","""23.01921""","""120.26022"""
"""501311040""","""中山北永明""","""永康區""","""中山北路65號""","""23.02652""","""120.25859"""
"""501311041""","""獅子亭公園(南工宿舍)""","""永康區""","""中山南路106-9號北側""","""23.01324""","""120.22962"""
"""501311042""","""東橋一東橋五""","""永康區""","""東橋一路576號北側""","""23.02569""","""120.23394"""
"""501311043""","""永康公2公園""","""永康區""","""東橋十二街186號北側""","""23.02556""","""120.23597"""
"""501311044""","""東橋2號公園""","""永康區""","""東橋七路151號""","""23.01982""","""120.23757"""
"""501311045""","""兒三廣十公園""","""永康區""","""東橋一路156號西側""","""23.01807""","""120.23441"""
"""501311046""","""龍潭派出所""","""永康區""","""龍埔街137號東側""","""23.03387""","""120.26425"""
"""501311047""","""中正南路404巷口""","""永康區""","""中正南路533號""","""23.03432""","""120.22924"""
"""501311050""","""龍國龍潭街口""","""永康區""","""龍國街400號""","""23.03181""","""120.26662"""
"""501311051""","""復華一街停車場""","""永康區""","""復華一街30號對側""","""23.00533""","""120.24523"""
"""501311055""","""東橋八街東橋五路口""","""永康區""","""東橋八街210號旁""","""23.02208""","""120.23582"""
"""501312002""","""玉井區圖書館""","""玉井區""","""民族路218號""","""23.1236""","""120.46874"""
"""501312003""","""玉井客運站""","""玉井區""","""中正路54號西側""","""23.12397""","""120.46033"""
"""501312005""","""中華富強""","""玉井區""","""中正路139號""","""23.12538""","""120.46208"""
"""501312006""","""玉井中華中山""","""玉井區""","""中華路228號""","""23.12011""","""120.46604"""
"""501313001""","""白河區圖書館""","""白河區""","""大德街1號""","""23.35297""","""120.41243"""
"""501314001""","""水景公園""","""安平區""","""安北路與安平路850巷路口""","""23.00202""","""120.1581"""
"""501314002""","""安平遊憩碼頭""","""安平區""","""運河路55號對側""","""22.99757""","""120.16055"""
"""501314003""","""安億停車場""","""安平區""","""安億路(安億停車場旁)""","""22.99667""","""120.16381"""
"""501314004""","""安平區公所""","""安平區""","""育平路與育平八街(東南側人行道)""","""22.99437""","""120.16768"""
"""501314005""","""運河公園""","""安平區""","""建平十七街及華平路口""","""22.99737""","""120.17677"""
"""501314006""","""臺南市政府(永華中心)""","""安平區""","""府前路二段與府前四街(西南側人行道)""","""22.99301""","""120.18457"""
"""501314007""","""臺南市議會""","""安平區""","""永華路二段/中華西路二段口(東北側)""","""22.98923""","""120.18674"""
"""501314008""","""林默娘公園""","""安平區""","""安億路(林默娘公園停車場旁)""","""22.99291""","""120.15681"""
"""501314009""","""億載金城""","""安平區""","""光州路與光州五街路口(億載金城侯車亭旁)""","""22.98877""","""120.16009"""
"""501314010""","""漁光島""","""安平區""","""健康路三段/漁光路(西南側)""","""22.98143""","""120.15642"""
"""501314011""","""西門實小""","""安平區""","""古堡街87號旁""","""23.00301""","""120.16089"""
"""501314012""","""臺南地政事務所""","""安平區""","""建平路321號對側公園""","""22.99055""","""120.18283"""
"""501314013""","""漁光島停車場""","""安平區""","""漁光路停車場(對側人行道)""","""22.98634""","""120.15221"""
"""501314014""","""億載公園""","""安平區""","""光州永華路二段停車場""","""22.99138""","""120.15929"""
"""501314018""","""安平中華西""","""安平區""","""安平路70號(對側人行道)""","""22.99801""","""120.18482"""
"""501314019""","""永華文平""","""安平區""","""永華路二段399號前""","""22.98996""","""120.17875"""
"""501314020""","""金城國中""","""安平區""","""怡平路140巷口""","""22.99328""","""120.17961"""
"""501314021""","""怡平公園""","""安平區""","""平通路/永華六街口(西南側)""","""22.99286""","""120.17670"""
"""501314022""","""永華國平""","""安平區""","""永華路二段/國平路口(西南側)""","""22.99101""","""120.17097"""
"""501314023""","""健康國平西""","""安平區""","""健康路三段326號對側""","""22.98430""","""120.16984"""
"""501314024""","""台南大員皇冠假日酒店""","""安平區""","""安北路/州平二街口(西北側)""","""22.99879""","""120.15029"""
"""501314028""","""臺南地院(健康二街)""","""安平區""","""健康二街16號西側""","""22.98443""","""120.17242"""
"""501314029""","""府平公園(郡平路)""","""安平區""","""郡平路46號南側""","""22.98844""","""120.17223"""
"""501314030""","""承天橋(平通路580巷)""","""安平區""","""慶平路555號北側""","""22.99755""","""120.17090"""
"""501314031""","""水景停車場""","""安平區""","""湖內一街99巷33號北側""","""22.99945""","""120.15803"""
"""501314032""","""觀夕平台""","""安平區""","""安港路202號東南側""","""22.99048""","""120.14755"""
"""501314033""","""安北路370巷""","""安平區""","""安北路370巷1弄1號東側""","""23.00049""","""120.15375"""
"""501314034""","""安平國中""","""安平區""","""育平路501號東側""","""22.99746""","""120.16761"""
"""501314035""","""南市區漁會""","""安平區""","""大平路66號""","""22.99654""","""120.15367"""
"""501314037""","""永華育平路口""","""安平區""","""永華路二段869號前""","""22.99148""","""120.16704"""
"""501315001""","""安定區公所(停車場)""","""安定區""","""安定區安定里安定443-1號對側""","""23.12098""","""120.23655"""
"""501315002""","""蘇厝橋""","""安定區""","""安定區蘇厝里蘇厝293-69號西側""","""23.12499""","""120.25136"""
"""501316001""","""臺灣歷史博物館""","""安南區""","""長和路一段250號""","""23.05829""","""120.23282"""
"""501316002""","""台江文化中心""","""安南區""","""安中路二段136號(對側人行道)""","""23.04617""","""120.18795"""
"""501316003""","""台江國家公園遊客中心""","""安南區""","""四草大道118號東側""","""23.00254""","""120.13935"""
"""501316004""","""四草綠色隧道""","""安南區""","""大眾路360號南側""","""23.01927""","""120.13589"""
"""501316006""","""媽祖宮公園""","""安南區""","""媽祖宮一街136號東南側""","""23.03660""","""120.12509"""
"""501316008""","""鹿耳門公園""","""安南區""","""城安路85號""","""23.06637""","""120.12684"""
"""501316009""","""新順公園""","""安南區""","""安豐六街200號北側""","""23.04627""","""120.21619"""
"""501316010""","""南路寮公園""","""安南區""","""培安路410號東側""","""23.03840""","""120.21321"""
"""501316011""","""頂順頂安""","""安南區""","""頂安街260巷71弄26號西側""","""23.04563""","""120.21042"""
"""501316012""","""梅花友愛公園""","""安南區""","""安中路一段557巷20號南側""","""23.03986""","""120.19917"""
"""501316013""","""九份子國中小""","""安南區""","""九份子大道8號""","""23.02196""","""120.18479"""
"""501316014""","""溪仔墘植物公園""","""安南區""","""海佃路一段372巷55號南側""","""23.02808""","""120.19255"""
"""501316015""","""溪東親子公園""","""安南區""","""富東路215號東側""","""23.02747""","""120.19788"""
"""501316016""","""海佃休閒公園""","""安南區""","""郡安路六段55巷76號東側""","""23.02729""","""120.18768"""
"""501316018""","""長安國小""","""安南區""","""長溪路三段249號""","""23.06551""","""120.19775"""
"""501316019""","""安順國中""","""安南區""","""安和路三段227號""","""23.04961""","""120.21859"""
"""501316020""","""州北里運動公園""","""安南區""","""安昌街22號""","""23.06793""","""120.21785"""
"""501316021""","""州南公園""","""安南區""","""長和路三段133巷66弄9號北側""","""23.06184""","""120.21676"""
"""501316022""","""亞太棒球中心(少棒主球場)""","""安南區""","""環館路255號""","""23.06309""","""120.23621"""
"""501316023""","""安西停4停車場""","""安南區""","""安西路101號東側""","""23.03158""","""120.20919"""
"""501316024""","""慈雲公園""","""安南區""","""安中路一段209號""","""23.03669""","""120.20613"""
"""501316025""","""和順市場""","""安南區""","""安中路一段678號西側""","""23.04265""","""120.19642"""
"""501316026""","""理想公園""","""安南區""","""大安街135號""","""23.03325""","""120.19312"""
"""501316027""","""海尾海佃""","""安南區""","""海佃路二段335號""","""23.03856""","""120.18768"""
"""501316028""","""土城高中""","""安南區""","""安中路五段265號""","""23.05776""","""120.15012"""
"""501316030""","""大道公園""","""安南區""","""海環街186號""","""23.03737""","""120.18331"""
"""501316031""","""安富公園""","""安南區""","""海佃路一段158巷174號北側""","""23.02525""","""120.19753"""
"""501316032""","""北安橋(府安)""","""安南區""","""北安路二段32巷2號西側""","""23.02529""","""120.20540"""
"""501316033""","""吉祥公園""","""安南區""","""海佃路四段490巷27號東側""","""23.06466""","""120.17400"""
"""501316034""","""神榕公園""","""安南區""","""公學路四段54巷41號北側""","""23.06927""","""120.17810"""
"""501316035""","""本淵寮公有市場""","""安南區""","""本原街三段26號南側""","""23.05312""","""120.17768"""
"""501316036""","""溪心公園""","""安南區""","""功安四街43號對側""","""23.05033""","""120.18278"""
"""501316037""","""安東公園""","""安南區""","""安和路一段478巷2弄120號""","""23.03414""","""120.21322"""
"""501316038""","""樂成公園""","""安南區""","""安通路四段47巷28號對側""","""23.03009""","""120.21097"""
"""501316040""","""吉安公園""","""安南區""","""義吉街/義吉街86巷口""","""23.03141""","""120.19523"""
"""501316041""","""安通公園""","""安南區""","""海前路2號(東側)""","""23.02968""","""120.18895"""
"""501317001""","""西港中央公園""","""西港區""","""新興街8-77號(西南側)""","""23.11678""","""120.20220"""
"""501317002""","""西港區公所""","""西港區""","""文化路1號""","""23.12304""","""120.20315"""
"""501318001""","""進學路停車場""","""佳里區""","""進學路256號南側""","""23.16405""","""120.17571"""
"""501318002""","""佳里國小(文化路)""","""佳里區""","""文化路349-1號北側""","""23.16319""","""120.17271"""
"""501318003""","""佳里公園""","""佳里區""","""佳里區六安里269號北側""","""23.16832""","""120.17803"""
"""501318004""","""蕭壠文化園區""","""佳里區""","""佳里區六安里130號""","""23.17286""","""120.17937"""
"""501318005""","""北門農工""","""佳里區""","""佳里區六安里117號""","""23.17496""","""120.18033"""
"""501318006""","""佳里國中""","""佳里區""","""新生路508號對側""","""23.15867""","""120.17062"""
"""501318007""","""佳里區公所""","""佳里區""","""忠孝路7號對側""","""23.16551""","""120.17647"""
"""501318008""","""佳里區仁愛國小""","""佳里區""","""仁愛路307號""","""23.15393""","""120.17849"""
"""501319001""","""葫蘆埤自然公園""","""官田區""","""中山路二段207號""","""23.19837""","""120.29699"""
"""501319002""","""官田體育公園""","""官田區""","""中山路一段127號南側""","""23.19143""","""120.31542"""
"""501319003""","""隆田車站""","""官田區""","""中山路一段1號""","""23.19249""","""120.31913"""
"""501319005""","""隆田車站(東側)""","""官田區""","""中山路一段1號東側""","""23.19287""","""120.31995"""
"""501319006""","""工社站""","""官田區""","""工社西街21巷198號""","""23.22062""","""120.33069"""
"""501319007""","""二鎮森林公園""","""官田區""","""工社南街8號""","""23.21733""","""120.32439"""
"""501320001""","""東山運動公園""","""東山區""","""中興南路26號東側""","""23.31878""","""120.40338"""
"""501320002""","""新東路外停車場""","""東山區""","""新東路一段42號西側""","""23.32247""","""120.40173"""
"""501320003""","""東山區公所""","""東山區""","""東山區東山里225號""","""23.32624""","""120.40506"""
"""501321001""","""陽光公園(生產路)""","""東區""","""生產路257號南側""","""22.96475""","""120.22765"""
"""501321002""","""平實公園""","""東區""","""小東路513號南側""","""22.99833""","""120.23606"""
"""501321003""","""成大公園""","""東區""","""育樂街88號旁""","""22.99653""","""120.21491"""
"""501321004""","""勝利大學路口""","""東區""","""勝利路/大學路口(東南側)""","""22.99614""","""120.21822"""
"""501321005""","""馬雅各青年公園""","""東區""","""青年路360號(對側人行道)""","""22.99139""","""120.21502"""
"""501321006""","""東寧運動公園""","""東區""","""東寧路220號北側""","""22.99114""","""120.22462"""
"""501321007""","""衛生局(林森辦公室)""","""東區""","""林森路一段418號旁""","""22.98537""","""120.22246"""
"""501321008""","""時代公園""","""東區""","""東寧路520號北側""","""22.98929""","""120.23116"""
"""501321009""","""虎尾寮市場""","""東區""","""裕平路/裕和二街(西北側)""","""22.98509""","""120.2409"""
"""501321010""","""裕文圖書館""","""東區""","""裕文路301號(對側人行道)""","""22.98218""","""120.24588"""
"""501321011""","""德光公園""","""東區""","""崇德路111號""","""22.97976""","""120.21934"""
"""501321012""","""和平公園""","""東區""","""文化路100號前""","""22.97705""","""120.23231"""
"""501321013""","""巴克禮公園""","""東區""","""中華東路三段357巷/中華東路三段口(西南側)""","""22.9738""","""120.2224"""
"""501321014""","""崇明路停E6""","""東區""","""崇明路/崇明二十街(西南側)""","""22.96897""","""120.22558"""
"""501321015""","""臺南監理站""","""東區""","""崇德路1號前""","""22.98139""","""120.21782"""
"""501321016""","""車鑑會""","""東區""","""府連東路/林森路一段口(西北側)""","""22.98372""","""120.21946"""
"""501321017""","""大學路停車場""","""東區""","""大學路西段/育樂街66巷口""","""22.99657""","""120.21580"""
"""501321018""","""臺南一中""","""東區""","""勝利路/東寧路口(東北側)""","""22.99271""","""120.21789"""
"""501321019""","""忠孝國中(崇仁龍山)""","""東區""","""崇仁街72號前""","""22.98396""","""120.22339"""
"""501321020""","""文化公園""","""東區""","""文化二街/文化一街(東北側)""","""22.97790""","""120.23104"""
"""501321023""","""東興公園(東安路251巷)""","""東區""","""東安路251巷60號(對側人行道)""","""22.99684""","""120.22565"""
"""501321024""","""東興公園(林森路)""","""東區""","""林森路二段/東和路口(東南側)""","""22.99765""","""120.22444"""
"""501321025""","""臺南車站(前站一)""","""東區""","""北門路二段12號旁""","""22.99797""","""120.21238"""
"""501321026""","""生產崇聖""","""東區""","""生產路68號""","""22.96469""","""120.21999"""
"""501321027""","""大智公園""","""東區""","""德東街101號南側""","""22.96167""","""120.23038"""
"""501321028""","""竹篙厝公園""","""東區""","""仁和路366號東側""","""22.96447""","""120.23705"""
