R_ID,Title,Type,ReviewsCount,Score,Location_ID
133,詔安早餐店,2,1,5.0,1000133
134,一番壽司,30,2,4.0,1000134
135,羊肉火鍋,6,1,5.0,1000135
136,早安三股,23,38,4.9,1000136
137,好好吃香雞排,5,45,4.8,1000137
138,家鄉傳統美食,6,4,4.8,1000138
139,東香臺菜海味料理,7,517,4.4,1000139
140,土城亨鵝肉,6,2,5.0,1000140
141,真好味,31,2,5.0,1000141
142,小當家麵食館,9,2,5.0,1000142
143,賴明煌廚師,6,8,5.0,1000143
144,阿郎食堂,6,31,4.4,1000144
145,阿森海鮮粥,32,12,5.0,1000145
146,阿枝牛肉麵,9,1,5.0,1000146
147,無名牛肉麵,3,50,4.4,1000147
148,早餐店(餐車),2,10,4.4,1000148
149,好滋味早餐店,2,5,4.8,1000149
150,正川味牛肉麵,6,86,4.5,1000150
151,錢源日式涮涮鍋,33,127,4.2,1000151
152,格林餐廳,6,150,4.2,1000152
153,美又美早餐店,2,53,4.5,1000153
154,學甲珍好佳,34,4,5.0,1000154
155,福隆餐廳(北門),9,705,3.8,1000155
156,娃娃手工煎餃 (招牌原味豬肉 鮮蝦口味 牛肉口味 特調醬料),11,4,5.0,1000156
157,富林早餐店,2,6,4.5,1000157
158,子龍早餐店,6,10,4.9,1000158
159,麥當勞-台南麻豆中山店,12,1655,4.1,1000159
160,亮哥生態風味體驗養殖場 (全國十大神農獎),6,131,4.5,1000160
161,黃媽媽牛肉麵,1,68,4.5,1000161
162,漚汪大腸包小腸,11,1,5.0,1000162
163,阿玉麵攤,9,2,5.0,1000163
164,快樂早餐店,2,10,4.3,1000164
165,麻豆驢子廚房,6,570,4.3,1000165
166,好口味韓式泡菜鍋（學甲店）,21,56,4.0,1000166
167,學甲 杏仁茶早餐店,2,5,4.6,1000167
168,喜陽便當社,7,2,4.0,1000168
169,速必得鹹酥雞,5,5,4.6,1000169
170,三多一吉早餐店,2,66,3.8,1000170
171,早餐店,2,32,4.5,1000171
172,悟饕池上飯包 - 台南學甲店,6,9,4.6,1000172
173,傻師傅湯包（學甲店）,35,15,4.5,1000173
174,美之晨早餐,2,9,4.9,1000174
175,大呼過癮-學甲店,21,9,4.3,1000175
176,東益烤鮮蚵海鮮快炒,20,233,4.8,1000176
177,翁國代家土龍養生館,6,7,4.3,1000177
178,鮮道口福牛肉麵,3,332,4.1,1000178
179,百福廣東烤鴨,36,124,4.2,1000179
180,信輝早餐店,2,7,3.7,1000180
181,百年老店 大腸粥,37,398,3.7,1000181
182,白玉肉圓學甲店 (白玉肉圓 鍋燒系列 四神湯 虱目魚丸 貢丸),6,146,4.9,1000182
183,東方美早餐店,2,42,4.0,1000183
184,李重義素食,25,22,4.1,1000184
185,潤德素食,25,69,4.0,1000185
186,水龜伯豆花冰老店(紅豆豆花 花生豆花 紅豆薏仁 冬季限定-薑汁豆花),16,194,4.5,1000186
187,廣東鮮肉湯包,2,14,4.0,1000187
188,展哥虱目魚粥（永通二店）,38,835,4.1,1000188
189,早安美芝城,2,26,4.0,1000189
190,在地人才知虱目魚粥,38,162,4.3,1000190
191,蕃茄村樂活早午餐-學甲建國店,23,52,4.5,1000191
192,信宏溫體牛肉湯 (炒牛肉 滷三寶 麻油心肝 招牌魯肉飯),39,108,4.0,1000192
193,弘爺漢堡,2,37,4.3,1000193
194,江小漁 酸菜魚鍋-學甲店,38,124,4.1,1000194
195,金翅雞,5,16,4.6,1000195
196,順德土產牛肉湯,40,792,4.3,1000196
197,食人魚村-台南道地海產,6,92,4.2,1000197
198,永倉伯椪柑,6,4,4.8,1000198
199,何紀牛肉湯,7,192,4.6,1000199
200,湯泉美地溫泉會館,41,593,3.5,1000200
201,阿生餐點,9,2,5.0,1000201
202,嶺一旅社,41,116,4.3,1000202
203,水井羅家,42,17,4.6,1000203
204,七里香甕仔雞-關仔嶺白河店,43,2098,3.8,1000204
205,關仔嶺古早厝山產快炒（虎山站）,9,216,4.3,1000205
206,虎山里蓮香甕缸雞,43,17,4.0,1000206
207,雲峰亭東山咖啡專賣店,6,125,4.4,1000207
208,易家香甕仔雞,43,980,4.6,1000208
209,學甲越鄉 脆皮烤乳豬,6,5,4.6,1000209
210,圓座甕仔雞,43,84,4.1,1000210
211,台北真來馫烤鴨莊 學甲分店(烤鴨 切片 炒骨 剁盤 剁炒),7,195,4.6,1000211
212,創意刈包,2,7,5.0,1000212
213,宜德小吃部,6,25,4.4,1000213
214,陳記牛肉麵 (牛肉蓋飯 滷味 水餃),6,30,4.6,1000214
215,順口味涮涮鍋 (海魚 藥膳排骨),33,169,4.3,1000215
216,學甲塩酥雞,5,229,4.6,1000216
217,陳媽媽早餐豆漿 學甲店 (紫米飯糰 蛋餅 西式燒餅 素食飯糰 豆漿 紫米漿),2,29,4.5,1000217
218,學甲稻香早點,2,23,4.1,1000218
219,頂山寮8號,7,3,3.7,1000219
220,好吃的炸排骨酥餐車,12,4,5.0,1000220
221,佳佳堡早餐店,2,8,5.0,1000221
222,無名早餐,2,8,5.0,1000222
223,奇異脆皮甕仔雞,43,233,4.2,1000223
224,珍珍商店,6,16,4.0,1000224
225,田園甕仔雞,43,391,4.6,1000225
226,公園商號,6,19,4.1,1000226
227,學甲Lệ Hằng越南河粉料理,44,25,4.4,1000227
228,明明早點,2,5,4.0,1000228
229,阿素虱目魚粥,38,182,4.3,1000229
230,阿娥虱目魚粥,6,304,4.5,1000230
231,(信友農場)橘子小溪,9,2,4.5,1000231
232,全美關東煮,9,11,4.6,1000232
233,品軒香甕仔雞,43,366,4.5,1000233
234,關嶺鹹酥雞,5,2,3.5,1000234
235,関之嶺餐館“柴燒“磚窯雞,43,290,4.2,1000235
236,南台灣土托魚羹-學甲店,6,112,3.5,1000236
237,其樂磚窯雞,43,1417,4.4,1000237
238,竹茅土雞城,43,371,4.6,1000238
239,岩頂自然休閒坊,9,1657,4.3,1000239
240,關仔嶺烤雞專賣店,43,9,4.1,1000240
241,樸軒食房（樸軒景觀餐廳）請先來電預約,6,655,4.3,1000241
242,寶琴山產小吃,6,283,4.5,1000242
243,寶珠甕缸雞,43,16,4.4,1000243
244,野蕉園土雞城,43,416,4.1,1000244
245,阿派的店,17,488,4.2,1000245
246,碧翠山產店,6,146,4.0,1000246
247,龍泉食堂,9,157,4.4,1000247
248,關子嶺『咖啡』早餐店,2,72,3.9,1000248
249,蔡頭飯麵,3,4,4.5,1000249
250,笠居園餐廳,24,625,4.3,1000250
251,保線所景觀餐廳,6,2,5.0,1000251
252,關仔嶺古早厝山產快炒（關嶺站）,9,302,4.4,1000252
253,關子嶺看景梅子雞,43,45,4.5,1000253
254,崁頂山野味餐廳,6,402,4.2,1000254
255,關子嶺茶壺雞,43,1009,4.4,1000255
256,香芝園餐飲店,6,10,4.5,1000256
257,早安美芝城將軍活力漚汪,2,34,3.5,1000257
258,藍帽披薩,45,1,5.0,1000258
259,阿金家常小炒,18,3,4.7,1000259
260,阿憲羊肉 (羊肉爐 羊肉炒飯 宮保羊肉 蔥爆羊肉 沙茶羊肉),6,362,4.5,1000260
261,永通虱目魚粥（學甲第一家虱目魚粥）,37,2989,4.2,1000261
262,幸福麵館 (水餃 餛飩乾雞蛋麵 蔥爆香菇米苔目 滷味拼盤 麻醬刀削麵),6,132,3.8,1000262
263,無名 炒米粉 炒麵 豬血湯,2,1,4.0,1000263
264,山頂居甕仔雞美食（關嶺店）,43,663,3.9,1000264
265,杉嶺,6,165,4.6,1000265
266,素清香水煎包（家昕）,22,10,5.0,1000266
267,素食早餐,2,2,5.0,1000267
268,學甲鵝肉-學甲店(鵝肉 小卷 花枝丸 丁香魚 豆豉蚵仔),7,703,4.3,1000268
269,佳佳牛肉麵,1,58,4.1,1000269
270,瓦寮鄧家關廟麵,24,6,4.7,1000270
271,學甲烤鴨莊,9,55,4.7,1000271
272,學甲黑輪輝 大腸炒香腸,26,12,5.0,1000272
273,懷香食堂,9,872,4.5,1000273
274,山霸王餐廳,6,3,4.0,1000274
275,旻鴈甕缸雞,43,878,4.1,1000275
276,巴豆夭印尼餐廳,46,6,4.8,1000276
277,碧仙莊美食餐廳,6,33,4.4,1000277
278,竹香園甕缸雞-仙草旗艦店,43,3972,4.3,1000278
279,大碗麵店,6,73,3.8,1000279
280,學甲臭豆腐,47,248,3.8,1000280
281,晨堡早餐,23,1,5.0,1000281
282,嶺景土雞城,43,530,4.4,1000282
283,品客小炒,6,32,4.3,1000283
284,素玉餐廳,6,32,4.9,1000284
285,川味黃家牛肉麵,3,105,4.5,1000285
286,五鮮級鍋物專賣 學甲自強店,21,472,4.7,1000286
287,學甲虱目魚粥老店( 學甲在地美食 學甲老字號 學甲美食 虱目魚湯 草魚湯),6,2756,4.2,1000287
288,村香十元壽司,14,21,4.6,1000288
289,莊家姐妹《蚵嗲》,9,5,5.0,1000289
290,東方美漢堡-佳里興,2,27,4.6,1000290
291,邵師傅薄皮生煎湯包/學甲美食/慈濟宮必吃 (鍋貼 蝦仁蒸餃 綜合燒賣 麻婆豆腐湯包),35,90,4.3,1000291
292,秋喜朝食 早午餐館,23,70,4.5,1000292
293,可口早點,2,3,3.7,1000293
294,原味山產美食，山藥麻糬推,6,663,4.3,1000294
295,老街山產美食景觀餐廳,6,511,4.4,1000295
296,古早味風味餐便當,9,1,5.0,1000296
297,阿嬤早餐店,2,11,5.0,1000297
298,學甲沙茶飯糰,2,1,5.0,1000298
299,義鹹酥雞（學甲區濟生店）,6,37,4.6,1000299
300,關子嶺賞螢觀景🍀山寮仔咖啡簡餐🐾,6,299,4.9,1000300
301,山景土雞城,43,1804,4.6,1000301
302,鑫旻鴈甕缸雞台南關子嶺 必吃甕仔雞美食 道地特色台菜景觀餐廳 PTT食尚玩家首選推薦,43,423,4.1,1000302
303,晨曦庭園美食,6,110,4.8,1000303
304,竹香園甕缸雞,43,2406,4.2,1000304
305,關子嶺紅雞城（甕缸雞）,6,548,4.5,1000305
306,仙嶺甕缸雞,43,90,4.3,1000306
307,老街甕缸雞,43,262,4.4,1000307
308,仙草埔在地文史生活驛站,6,1,5.0,1000308
309,御見香菇蛋,6,10,4.3,1000309
310,新月園-冠軍甕仔雞,43,158,4.4,1000310
311,阿界桶仔雞,43,3,3.7,1000311
312,御膳皇品餐飲,48,1,5.0,1000312
313,超能量甕仔雞,43,617,4.0,1000313
314,粗坑甕仔雞,43,167,4.2,1000314
315,霸皇碳火薑母鴨集團 (海陸鍋 紅蟳薑母鴨 塩酥薑母鴨),6,130,4.5,1000315
316,臭豆腐 豬血湯 魯味,17,1,5.0,1000316
317,媽媽の煎餃,6,1,5.0,1000317
318,關之嶺餐館,49,1,5.0,1000318
319,仁仔牛肉麵 (學甲美食老店 紅燒牛肉麵 牛肉炒飯),3,105,3.7,1000319
320,府城豆漿大王 學甲店,2,167,3.9,1000320
321,湯泉美地,6,4,4.0,1000321
322,5021餐廳,6,210,4.5,1000322
323,古早味-阿寬甕仔雞,43,475,4.2,1000323
324,阿杏早餐店,6,1,4.0,1000324
325,好新琴早餐店,6,24,3.8,1000325
326,漢堡家早餐店,2,31,4.1,1000326
327,真好味餐廳,6,55,3.8,1000327
328,美玲早餐店,23,41,4.5,1000328
329,煉‧瓦 日式餐廳,14,291,4.0,1000329
330,橄饗家西班牙嚴選美食餐廳Como en casa gourmet,6,582,4.4,1000330
331,東方美早餐店,6,39,3.6,1000331
332,找早點早餐店,2,2,4.0,1000332
333,新東灣早餐店,6,45,4.2,1000333
334,夏ㄧ跳早餐店,6,4,4.8,1000334
335,QQ堡早餐店,2,67,4.4,1000335
336,菊晨早餐店,2,6,4.5,1000336
337,森子巷早餐店,6,5,4.4,1000337
338,大張紅燒牛肉麵,3,70,4.2,1000338
339,街役場古蹟餐坊,6,1282,4.6,1000339
340,麥當勞-永康大灣餐廳,12,2185,4.0,1000340
341,四季香火鍋店,21,31,4.9,1000341
342,鹽行早餐店,2,3,4.0,1000342
343,老饕川味牛肉麵,24,313,3.5,1000343
344,胡攪蝦餃 凱旋店,50,647,4.6,1000344
345,夏慕尼新香榭鉄板燒台南公園南店,51,3461,4.5,1000345
346,聚悦居葷素餐廳,31,873,4.7,1000346
347,美而美早餐店,2,20,4.7,1000347
348,Feed Me美式餐廳(台南店),6,168,3.9,1000348
349,理想早餐店,2,3,4.0,1000349
350,三船の鰻丼San Chuan Unagi Don restaurant-日本料理 鰻魚飯 壽司握壽司 生魚片丼飯 日式定食烤物 高CP值日式料理 家庭聚餐餐廳推薦,14,1416,4.6,1000350
351,無名早餐店,2,120,4.2,1000351
352,巴東泰式料理Badom Thailand restaurant,52,868,4.1,1000352
353,漢來蔬食 台南店,25,1378,4.4,1000353
354,鑫華茶餐廳,8,1605,4.1,1000354
355,春宮居酒屋,15,298,4.8,1000355
356,KATZ 卡司韓拾炸雞 台南西門店,53,363,4.2,1000356
357,元馨早餐店,2,13,4.2,1000357
358,種素Zone Su養生蔬果早餐,2,155,4.9,1000358
359,武市脆口炸雞-台南科大店,5,24,4.5,1000359
360,夏一跳早餐店,6,12,4.3,1000360
361,長春健康素食餐飲連鎖-台南安和店,22,401,4.1,1000361
362,三商巧福 永康二門市,3,410,3.8,1000362
363,Phở22河粉南洋小吃 成大美食,6,926,4.3,1000363
364,三商巧福 長榮門市,1,878,3.7,1000364
365,大友牛肉麵,1,213,4.1,1000365
366,香Q堡早餐店,2,53,3.9,1000366
367,尚廚早餐店,2,19,4.6,1000367
368,家喜早餐店,2,13,4.9,1000368
369,美而美早餐店,6,34,3.9,1000369
370,超堡早餐店,23,223,3.6,1000370
371,鮮味軒餐廳,20,220,4.4,1000371
372,吳家湖南牛肉麵,3,326,4.0,1000372
373,現作早餐店,9,1,5.0,1000373
374,阿貴早餐店,2,27,4.5,1000374
375,極鮮火鍋,21,3067,3.9,1000375
376,東方美早餐店,2,219,4.5,1000376
377,好也粵式中餐廳,9,397,4.2,1000377
378,燒究餐飲集團-台南燒肉推薦｜焼肉ショジョ Yakiniku SHOJO 台南全球旗艦店,54,4828,4.8,1000378
379,慈濟園素食餐廳,25,564,4.2,1000379
380,HALAL food 穆斯林的店,55,401,4.4,1000380
381,Woopen木盆 永康加盟門市,6,146,4.2,1000381
382,吉田Kitchen Yoshida,6,556,4.1,1000382
383,阿美飯店,7,1953,4.2,1000383
384,時蔬異理早餐店,25,5,4.6,1000384
385,張家牛肉麵,1,270,4.3,1000385
386,來一碗牛肉麵,24,134,4.8,1000386
387,白宮餐廳,6,146,3.8,1000387
