S_id,Type,Name,Location_ID
207,2,垃圾車3521,2007
208,2,垃圾車3522,2008
209,2,垃圾車3523,2009
2010,2,垃圾車3524,20010
2011,2,垃圾車3525,20011
2012,2,垃圾車3526,20012
2013,2,垃圾車3527,20013
2014,2,垃圾車3528,20014
2015,2,垃圾車3529,20015
2016,2,垃圾車3530,20016
2017,2,垃圾車3531,20017
2018,2,垃圾車3532,20018
2019,2,垃圾車3533,20019
2020,2,垃圾車3534,20020
2021,2,垃圾車3535,20021
2022,2,垃圾車3536,20022
2023,2,垃圾車3537,20023
2024,2,垃圾車3538,20024
2025,2,垃圾車3539,20025
2026,2,垃圾車3540,20026
2027,2,垃圾車3541,20027
2028,2,垃圾車3542,20028
2029,2,垃圾車3543,20029
2030,2,垃圾車3544,20030
2031,2,垃圾車3545,20031
2032,2,垃圾車3546,20032
2033,2,垃圾車3547,20033
2034,2,垃圾車3548,20034
2035,2,垃圾車3549,20035
2036,2,垃圾車3550,20036
2037,2,垃圾車3551,20037
2038,2,垃圾車3552,20038
2039,2,垃圾車3553,20039
2040,2,垃圾車3554,20040
2041,2,垃圾車3555,20041
2042,2,垃圾車3556,20042
2043,2,垃圾車3557,20043
2044,2,垃圾車3558,20044
2045,2,垃圾車3559,20045
2046,2,垃圾車3560,20046
2047,2,垃圾車3561,20047
2048,2,垃圾車3562,20048
2049,2,垃圾車3563,20049
2050,2,垃圾車3564,20050
2051,2,垃圾車3565,20051
2052,2,垃圾車3566,20052
2053,2,垃圾車3567,20053
2054,2,垃圾車3568,20054
2055,2,垃圾車3569,20055
2056,2,垃圾車3570,20056
2057,2,垃圾車3571,20057
2058,2,垃圾車3572,20058
2059,2,垃圾車3573,20059
2060,2,垃圾車3574,20060
2061,2,垃圾車3575,20061
2062,2,垃圾車3576,20062
2063,2,垃圾車3577,20063
2064,2,垃圾車3578,20064
2065,2,垃圾車3579,20065
2066,2,垃圾車3580,20066
2067,2,垃圾車3581,20067
2068,2,垃圾車3582,20068
2069,2,垃圾車3583,20069
2070,2,垃圾車3584,20070
2071,2,垃圾車3585,20071
2072,2,垃圾車3586,20072
2073,2,垃圾車3587,20073
2074,2,垃圾車3588,20074
2075,2,垃圾車3589,20075
2076,2,垃圾車3590,20076
2077,2,垃圾車3591,20077
2078,2,垃圾車3592,20078
2079,2,垃圾車3593,20079
2080,2,垃圾車3594,20080
2081,2,垃圾車3595,20081
2082,2,垃圾車3596,20082
2083,2,垃圾車3597,20083
2084,2,垃圾車3628,20084
2085,2,垃圾車3629,20085
2086,2,垃圾車3630,20086
2087,2,垃圾車3631,20087
2088,2,垃圾車3632,20088
2089,2,垃圾車3633,20089
2090,2,垃圾車3634,20090
2091,2,垃圾車3635,20091
2092,2,垃圾車3636,20092
2093,2,垃圾車3637,20093
2094,2,垃圾車3638,20094
2095,2,垃圾車3639,20095
2096,2,垃圾車3640,20096
2097,2,垃圾車3641,20097
2098,2,垃圾車3642,20098
2099,2,垃圾車3643,20099
20100,2,垃圾車3644,200100
20101,2,垃圾車3645,200101
20102,2,垃圾車3646,200102
20103,2,垃圾車3647,200103
20104,2,垃圾車3648,200104
20105,2,垃圾車3649,200105
20106,2,垃圾車3650,200106
20107,2,垃圾車3651,200107
20108,2,垃圾車3652,200108
20109,2,垃圾車3653,200109
20110,2,垃圾車3654,200110
20111,2,垃圾車3655,200111
